TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,window
Queen of the Mountains,2015-01-05 16:00:00-08:00,8.6,3106,Action,2015-01-01
Racing Extinction,2015-01-23 16:00:00-08:00,7.9,83,Adventure,2015-01-01
Queen of the Mountains,2015-01-05 16:00:00-08:00,8.6,3106,Biography,2015-01-01
The Master Plan,2015-01-15 16:00:00-08:00,5.7,885,Comedy,2015-01-01
Darkness on the Edge of Town,2015-01-24 16:00:00-08:00,8.0,72,Crime,2015-01-01
Racing Extinction,2015-01-23 16:00:00-08:00,7.9,83,Documentary,2015-01-01
Queen of the Mountains,2015-01-05 16:00:00-08:00,8.6,3106,Drama,2015-01-01
Afflicted,2015-01-26 16:00:00-08:00,6.3,14152,Horror,2015-01-01
Taken 3,2015-01-08 16:00:00-08:00,6.0,105617,Thriller,2015-01-01
Darkness on the Edge of Town,2015-01-24 16:00:00-08:00,8.0,72,Western,2015-01-01
